Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Segment,Product,Category,Region,City,Quantity,Unit_Price,Discount,Sales,Cost,Profit
ORD-00001,2024-03-11,CUST-0177,Ishaan Iyer,Small Business,Cap,Clothing,East,Patna,6,339.63,0.1,1980.7,1039.47,941.23
ORD-00002,2023-07-16,CUST-0095,Arjun Iyer,Corporate,Bookshelf,Furniture,North,Lucknow,4,4400.43,0.05,16721.63,11357.27,5364.36
ORD-00003,2024-01-05,CUST-0117,Aditi Das,Small Business,T-Shirt,Clothing,South,Chennai,3,576.27,0.2,1493.7,827.14,666.56
ORD-00004,2023-04-16,CUST-0252,Pooja Reddy,Corporate,Backpack,Stationery,South,Hyderabad,1,1826.66,0.1,1644.0,982.2,661.8
ORD-00005,2024-05-18,CUST-0206,Aarav Nair,Corporate,Sneakers,Clothing,North,Delhi,2,3249.29,0.2,5614.78,2812.43,2802.35
ORD-00006,2024-09-12,CUST-0214,Aarav Singh,Small Business,T-Shirt,Clothing,South,Bengaluru,4,633.08,0.1,2461.43,1340.39,1121.04
ORD-00007,2024-09-16,CUST-0031,Vivaan Reddy,Consumer,Snack Pack,Groceries,Central,Indore,2,163.43,0.0,353.0,260.54,92.46
ORD-00008,2023-01-03,CUST-0081,Priya Singh,Corporate,Desk,Furniture,Central,Bhopal,7,8910.91,0.15,53019.89,34255.55,18764.34
ORD-00009,2023-09-28,CUST-0120,Sara Patel,Consumer,Sneakers,Clothing,North,Lucknow,4,3152.09,0.15,10717.1,5569.99,5147.11
ORD-00010,2024-09-01,CUST-0158,Kunal Singh,Small Business,Office Chair,Furniture,North,Delhi,5,6420.9,0.1,31205.57,21049.04,10156.53
ORD-00011,2024-09-04,CUST-0042,Ananya Gupta,Small Business,Whiteboard,Stationery,West,Pune,1,1724.62,0.2,1490.07,862.27,627.8
ORD-00012,2024-08-13,CUST-0138,Vivaan Khan,Consumer,Whiteboard,Stationery,North,Lucknow,1,1684.19,0.0,1818.93,1084.92,734.01
ORD-00013,2023-04-04,CUST-0252,Pooja Reddy,Corporate,Dining Table,Furniture,West,Ahmedabad,8,14543.88,0.05,110533.51,69275.5,41258.01
ORD-00014,2024-07-17,CUST-0206,Aarav Nair,Corporate,Beverages,Groceries,East,Bhubaneswar,1,89.19,0.05,91.51,62.62,28.89
